number	number	number	string	number	string	string	number	array	string	number	array	string	number	array	string	string	number	number
2403	24	3	love_image3	2250	私と一緒にレストランに行きたい\nだなんて、そんな事言う人初めてよ。	エピソード3	3	"[10061,1]"	楽譜を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	ほのか香りが鼻につくアロマキャンドル/n心安らぐ暖かな淡い黄色の炎を燃やしている/n心の中の期待と希望に火を灯す/nあなたは私が待っている人ですか	402431	3
2404	24	4	love_image4	5600	今日の任務は危険な内容と\n聞いているわ。一緒に来てくれる？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	一緒に歩もう/n私の一生をあなたに預ける/n昨日のことは振り返らず/n明日からはともに白髪になるまで	402441	4
2501	25	1	love_image1	450	急にかしこまってどうしたんだ？	エピソード1	3	"[10062,1]"	弓を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	童話の中の天使になりたい/n翼を広げてあなたを守る/n私たちの物語はまるで童話みたい/nハッピーな結末がきっと待っている	402511	1
2502	25	2	love_image2	1350	猫って可愛いよな！	エピソード2	3	"[10063,1]"	キャットフードを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あったかい小さなお部屋/n君がご飯を作って、私が掃除をする/n一緒にジャブジャブお風呂に入る/nこれこそ私が欲しい未来の形	402521	2
2503	25	3	love_image3	3375	風邪をひいた？ 仕方ないな…	エピソード3	3	"[10064,1]"	海鮮粥を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	カノンのメロディーを口ずさむ/n私の気持ちをあなたへと歌う/n私があなたのそばで守ってあげる/nあなたは永遠とは何かを知るでしょう	402531	3
2504	25	4	love_image4	8450	音楽教室で待ってるから！	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	ずっと前から準備していたリング/n私の手の上できらきら光っている/n受け取ってくれないか/n二人の約束はずっと守るよ	402541	4
2601	26	1	love_image1	300	これは地図？ これを使って遊ぶの？	エピソード1	3	"[10020,1]"	本を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あちこち探し求める/nついに見つけた/n世界で1つだけのお宝/nお宝の正体ってなんだろう	402611	1
2602	26	2	love_image2	900	お買い物に付き合ってよ！	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	沈んでゆく太陽とハトの群れ/n一羽が旋回して下りてくる/nふわふわで真っ白な翼/n平和と平穏をもたらす	402621	2
2603	26	3	love_image3	2250	遊園地に行くの？ 嬉しいな～！	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	美しい白鳥にのる/n空を自由自在に飛んでいる/n風がびゅーっと吹いている/n私たちは空の彼方で思いのままに明るく笑う	402631	3
2604	26	4	love_image4	5600	それなーに？ チケット？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	あたたかくてロマンチックな日常/n甘くて楽しい毎日/nそう、私たちの物語は/nこんなにも素晴らしい	402641	4
2701	27	1	love_image1	450	带上晴天君去参加森林狂欢吧！	エピソード1	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	飘落的红色枫叶中/n落下颗颗满载祝福的松果/n响彻森林的欢声笑语/n记录幸福的点点滴滴	402711	1
2702	27	2	love_image2	1350	失去同伴的感觉太糟糕了	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	静谧的夜晚/n空旷的草地/n美丽的星空/n还有仰望星空的我们	402721	2
2703	27	3	love_image3	3375	我想去悼念一下逝去的小伙伴们	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	一望无际的冰河/n星光点点的莲花灯/n我们并肩而立/n诉说着思念和祝福	402731	3
2704	27	4	love_image4	8450	今晚就住在森林吧~	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	柔软的草垫/n舒适的树屋/n早起的鸟儿/n歌唱着幸福	402741	4
2801	28	1	love_image1	450	屋顶的位置看闪电最好了~	エピソード1	3	"[10017,1]"	ペアルックを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	明亮的闪电划破天际/n撕裂静谧的夜空/n雷声滚滚而来/n唤醒沉睡的惊艳	402811	1
2802	28	2	love_image2	1350	屋顶又被砸坏了，唉T_T	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	锤子与钉子的亲密接触/n叮当作响的背景音乐/n屋顶的别样风景/n平凡又特别的日常	402821	2
2803	28	3	love_image3	3375	欢迎光临女仆咖啡厅	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	那一年的园游会/n女仆与王子的邂逅/n“咖啡来了/n请慢慢享用~”	402831	3
2804	28	4	love_image4	8450	不知道还有没有什么有意思的活动呢？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	满天飘扬的旗帜/n诉说着满满的爱恋/n众人的祝福声中/n携手开启美好的未来	402841	4
2901	29	1	love_image1	450	化妆舞会马上就要开始，快走吧	エピソード1	3	"[10042,1]"	ドレスを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	血色的月光/n倒映着扭曲的欲望/n受到惊吓的吸血鬼/n仓皇而逃	402911	1
2902	29	2	love_image2	1350	你害怕血红色的雷吗？	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	愚蠢的人类/n愚蠢的谣言/n如果可以/n我一定要毁灭这个世界	402921	2
2903	29	3	love_image3	3375	听说转角的街道上有美味的零食	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	蓬松的棉花糖/n像云朵一般柔软/n一丝一丝缠上嘴角/n空气的味道也变成甜的	402931	3
2904	29	4	love_image4	8450	桃花林？里面有什么？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	飘落的花瓣/n在风中低语/n粉色的爱恋/n甜蜜的未来	402941	4
3001	30	1	love_image1	450	私の刀は？	エピソード1	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私の刀が見付からない/nあちこち探して……/nようやく見付けられた/n私ってうっかりさん?	403011	1
3002	30	2	love_image2	1350	公園でコスプレ大会があるんだって	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	コスプレ大会/n初めての参加/n貴方と一緒に/n掴み取った栄冠！	403021	2
3003	30	3	love_image3	3375	わたしのライブ、楽しみにしてね	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	桜の季節/n私とあなたの声が重なって/n幸せな空気に包まれる/n最高のステージ	403031	3
3004	30	4	love_image4	8450	初雪の思いで	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	初雪の中/n綺麗な雪/n二つの雪だるまが寄り添って/nまるで私たちのよう	403041	4
3101	31	1	love_image1	450	冬のスポーツを楽しむと吉！	エピソード1	3	"[10036,1]"	スキー板を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	厚いマフラー/n愛を感じる/n寒い冬でも/n少しも寒くないわ	403111	1
3102	31	2	love_image2	1350	今日のラッキーアイテムは楽器！~	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	夕暮れ時/nオレンジ色に染まる教室/n透き通った音色/n青春の色	403121	2
3103	31	3	love_image3	3375	男の子にプリンをご馳走するとハッピー！	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	外は寒くても/n心は温かい/n甘くてとろけるひと口/nハッピーのおすそ分け	403131	3
3104	31	4	love_image4	8450	今日はあなたの人生で\n特別な日になるでしょう…？~	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	真っ白な花びら/nたくさん散らかす/n特別な香りがする/n明るい未来が見える	403141	4
3201	32	1	love_image1	450	フラグ	エピソード1	3	"[10023,1]"	蛤刃を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	孤独が当たり前だった私/nでも今度からは/nあなたの背中の温もりを/n思い出すかも	403211	1
3202	32	2	love_image2	1350	スマホ忘れちゃった……取りに戻らないと	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	白ちゃんはいい子/nあなたは私の友達で/nそして/n君は一番かわいいカラスよ	403221	2
3203	32	3	love_image3	3375	図書館に行くけど、一緒に行かない？	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	貴方とずっと一緒に/n同じ本を読んで/nとてもとても/n幸せな時間	403231	3
3204	32	4	love_image4	8450	手紙？誰からかしら？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	周りには花が咲き/nいろいろな色があり/nとても美しく/nそして、良い香りに包まれた	403241	4
3301	33	1	love_image1	450	闯入我的实验室可是要付出代价的	エピソード1	3	"[10050,1]"	下痢止め薬を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	人类都是一样/n愚蠢而无可救药/n你会不会/n给我一些惊喜呢	403311	1
3302	33	2	love_image2	1350	看在四叶草的份上就勉强原谅你拖欠酬劳吧	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	不清楚为什么/n会答应你的要求/n金钱似乎已经不那么重要/n那是为了什么呢？	403321	2
3303	33	3	love_image3	3375	好像迷路了……	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	第一次和别人提起/n不想再回忆的过去/n好像被施了什么魔法/n我变得不像自己了	403331	3
3304	33	4	love_image4	8450	去郊外？做什么？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	开一千年落一千年/n花叶永不相见/n情不为因果/n缘注定生死	403341	4
3501	35	1	love_image1	450	……	エピソード1	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	你不愿意说的/n我来帮你说/n你不愿意做的/n我来帮你做	403511	1
3502	35	2	love_image2	1350	……	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	喧闹的祭典/n欢呼的观众/n沉默的你/n却是我眼里的唯一	403521	2
3503	35	3	love_image3	3375	……	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	当危险来临的时候/n我才知道/n失去/n是一件多么可怕的事情	403531	3
3504	35	4	love_image4	8450	一起……吧	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	一起执行任务/n一起出发/n一起回家/n一起面对所有的一切	403541	4
3401	34	1	love_image1	450	用香水道歉？这个......	エピソード1	3	"[10058,1]"	香水を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	初次见面却这么狼狈/n想要道歉却得到礼物/n想了解我的“窥探狂”/n还好遇见你	403411	1
3402	34	2	love_image2	1350	谢谢你的海鲜粥~	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	不开心有你陪伴/n失去信心有你鼓励/n教给我充满活力秘诀的人/n幸好有你在	403421	2
3403	34	3	love_image3	3375	玫瑰花的花语是....	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	花语不及感动/n感谢的心情不及喜欢/n享受浪漫的时刻/n想和你一起	403431	3
3404	34	4	love_image4	8450	戒指是用来求婚的！	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	为我欢喜/n为我忧愁/n如此爱着我的你/n我心属于你	403441	4
3601	36	1	love_image1	450	终于可以养金鱼啦	エピソード1	3	"[10059,1]"	アクアリウムを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	夏日的夜晚/n美丽的邂逅/n从此/n生活多了一丝色彩	403611	1
3602	36	2	love_image2	1350	呼啦啦魔法~四叶草保佑演出成功	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	灵动的舞姿/n温暖的笑颜/n充满韵律与力量的鼓声/n这个节日最动人的节目	403621	2
3603	36	3	love_image3	3375	晴天笔记里有没有快速完成作业的方法呢？	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	夏日的清晨/n凉爽的风吹过/n墨香满溢的书房/n奋笔疾书的两只	403631	3
3604	36	4	love_image4	8450	我们快去参加“丢包”吧，我有好好准备哦~	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	精心制作的花包/n装满温暖的爱恋/n将我的心意传达给你	403641	4
3701	37	1	love_image1	450	一定要来晴天的女仆咖啡屋哦～	エピソード1	3	"[10052,1]"	メイド服を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	温馨的餐厅/n轻快的音乐/n美味的食物/n可爱的你	403711	1
3702	37	2	love_image2	1350	小时候的相册放在哪里了呢？	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	１００天的时候/n刚学会走路的时候/n第一天上学的时候/n第一次相遇的时候	403721	2
3703	37	3	love_image3	3375	一起去温泉旅行吧～	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	意料之外的相遇/n懊恼却又庆幸/n幸好是你/n只能是你	403731	3
3704	37	4	love_image4	8450	盛开的向日葵花田在哪里呢？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	晴朗的天空下/n向日葵/n向着阳光/n绽开笑脸	403741	4
3801	38	1	love_image1	450	粽子节要到了，又有好玩的啰！	エピソード1	3	"[10060,1]"	アロマを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	并不愉快的记忆/n因为你的存在/n增添了色彩/n再也不想忘记	403811	1
3802	38	2	love_image2	1350	闲的快长蘑菇了……	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	响亮的口号/n整齐的动作/n齐心协力/n为胜利而战！	403821	2
3803	38	3	love_image3	3375	准备好了，出发啰！	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	浪花渐渐消失/n海面也归于沉寂/n我心中/n却掀起了滔天巨浪	403831	3
3804	38	4	love_image4	8450	去找谁玩呢？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	不喜欢你对别人笑/n不喜欢你的眼里有别人/n莫名的情愫/n让我不知所措	403841	4
3901	39	1	love_image1	450	啊啊，发带......母亲大人给我的发带找不到了.....	エピソード1	3	"[10028,1]"	ヘッドバンドを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	初见/n相知相识/n从打开门的那一刻/n我并未考虑到后面的一切	403911	1
3902	39	2	love_image2	1350	这......虽然感谢阁下的盛情款待，可是......请容我再考虑一下	エピソード2	3	"[10033,1]"	焼肉を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	一直以优雅的形象示人/n却在你面前暴露本性/n连敬语都忘记说/n我真是个笨蛋啊…	403921	2
3903	39	3	love_image3	3375	呃？毛绒玩具？可是我已经不是小孩子了......	エピソード3	3	"[10029,1]"	ぬいぐるみを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	是你让我变得简单/n不用去烦忧琐碎的事/n不用遵守麻烦的规章制度/n有你就足够了	403931	3
3904	39	4	love_image4	8450	最近好像有些心不在焉的，我应该快点调整好状态	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	因为你的存在/n我的世界开始有不寻常/n和你在一起时很轻松自然/n这可能就是喜欢吧	403941	4
4001	40	1	love_image1	450	你真是个有趣的人类！	エピソード1	3	"[10020,1]"	本を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	如果可以/n我想遇见你、认识你/n进入你的世界/n让你注意到我。	404011	1
4002	40	2	love_image2	1350	突然觉得镜子这个东西还挺有意思的~	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	如果可以/n我想了解人类的世界/n还想多了解你一些/n这样会不会很贪心？	404021	2
4003	40	3	love_image3	3375	我......我才不要穿这么羞耻的东西呢......	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	如果可以/n我想变成普通的人类/n然后...... /n爱上你。	404031	3
4004	40	4	love_image4	8450	我想要寻找活下去的意义呢......	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	如果可以/n我想永远和你在一起/n做很多快乐的事/n寻找幸福的意义。	404041	4
4101	41	1	love_image1	450	日光浴気持ち良い～。~~	エピソード1	3	"[10021,1]"	霧吹きを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	水踏んじゃった/n水踏んじゃった/n水踏んずけちゃったら/n人だった	404111	1
4102	41	2	love_image2	1350	のどが渇いたな～。	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	水の味はさまざま/n自然の味、甘いの辛いの/n然れども/nあなたから貰ったのが一番！	404121	2
4103	41	3	love_image3	3375	男の人とのお出かけなんて初めて。	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	私はすぐに泣いてしまう/nあなたは違う/nあの日のあなたは/n私だけのヒーロー	404131	3
4104	41	4	love_image4	8450	何かな？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	幸せってなんでしょう/n毎日お水が飲めること？/n太陽浴ができること？/nううん、あなたと一緒にいること	404141	4
4201	42	1	love_image1	450	今宵も始まりました。\n不思議びっくりサーカスだよ～！	エピソード1	3	"[10014,1]"	チョコレートを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	フワフワ！/nフワフワ！/nフワフワ！/nフワフワが大好き！	404211	1
4202	42	2	love_image2	1350	それでは開幕です～！	エピソード2	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	ピエロになった/n皆に喜びを与えられる/n仲間もたくさんいる/n毎日が楽しい	404221	2
4203	42	3	love_image3	3375	おーい、どこいったんだ～？	エピソード3	3	"[10029,1]"	ぬいぐるみを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	服が隔ててるとはいえ/nあなたの体温を感じる/nフワフワだけでなく/nあなたが好き	404231	3
4204	42	4	love_image4	8450	さーて今年はどうしようかな。	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	特別な日、特別な存在/nピエロは笑う/n今日は特別/n今日だけ涙	404241	4
4301	43	1	love_image1	450	要考试了，快走吧	エピソード1	3	"[10049,1]"	英語辞書を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	厉害！/n好厉害！/n还是好厉害！/n真的好厉害！	404311	1
4302	43	2	love_image2	1350	这是哪里？	エピソード2	3	"[10014,1]"	チョコレートを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	充满迷雾的森林中/n迷失了方向/n我们/n相依为命	404321	2
4303	43	3	love_image3	3375	听说今天有流星雨	エピソード3	3	"[10050,1]"	下痢止め薬を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	向流星许下的愿望/n真的可以实现吗？	404331	3
4304	43	4	love_image4	8450	今天是火把节啊	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	穿上甜美的和服/n好像连心都变得柔软/n篝火映照的笑脸/n想用一生去铭记	404341	4
4401	44	1	love_image1	450	今晚23时我会偷走名画《归隐之心》。\n怪盗：海鲜拉面	エピソード1	3	"[10015,1]"	ハマナスを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	"真是有趣的人，/n抢不过我还拼命, /n那么, /n这幅画我就收下咯"	404411	1
4402	44	2	love_image2	1350	凌晨3时把名为光耀的奖杯偷走吧。\n怪盗：笨蛋海鲜拉面	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	本以为，/n世界上没有那么多巧合，/n直到遇见你，/n巧合变成了命中注定	404421	2
4403	44	3	love_image3	3375	要懂得珍惜喔……\n怪盗：普通海鲜拉面	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	"体会过太多的悲伤, /n不想再失去什么, /n竭尽全力也要保护, /n只要我还活着"	404431	3
4404	44	4	love_image4	8450	今日？？时，请让我偷走你的心。\n怪盗：特制海鲜拉面	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	"不管是人或物, /n只要是我想得到的, /n我一定会得到, /n所以你的心就归我啦"	404441	4
4501	45	1	love_image1	450	等一下要在自己的地盘做点什么好呢~	エピソード1	3	"[10031,1]"	てるてる坊主を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	有陌生人闯进来了/n像往常一样办吧/n吓唬他，让他离开/n就这样吧	404511	1
4502	45	2	love_image2	1350	今天要清理下电锯~把它擦干净~	エピソード2	3	"[10014,1]"	チョコレートを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	不想伤害别人/n不希望别人遇到危险/n既然这样……/n危险由我来靠近就好了	404521	2
4503	45	3	love_image3	3375	娃娃好多好可爱~全部抱回家吧~	エピソード3	3	"[10029,1]"	ぬいぐるみを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	和你在一起很开心/n真是奇怪的感觉/n好像变得不想离开你了/n要怎么办呢？	404531	3
4504	45	4	love_image4	8450	好长时间没吃烧烤了~好想吃~	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	火可以带给人温暖，/n同样也可以带来危险，/n我这个“危险”的家伙，/n还请多多关照~	404541	4
4601	46	1	love_image1	450	啦啦~给咖啡洗澡~恩？想知道咖啡是谁？	エピソード1	3	"[10064,1]"	海鮮粥を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	我在等待一个人，/n那个人可以接纳我，/n爱护我，/n希望那个人是你	404611	1
4602	46	2	love_image2	1350	猜猜我是谁~猜猜我是谁~猜猜我是谁~	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	你我相互依赖，/n在黑暗来临前，/n成为互相照耀的，/n闪烁星芒	404621	2
4603	46	3	love_image3	3375	蓝色的蘑菇又好看又好吃，啊嘞…？？	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	视线离不开你，/n心里也全都是你，/n你是特别的存在，/n能和你在一起就好了~	404631	3
4604	46	4	love_image4	8450	我有些想要对你说……	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	勇往直前的勇士，/n在感情面前止步不前，/n该怎么办，/n只好等你来解救~	404641	4
4701	47	1	love_image1	450	Time Machine Magic!!	エピソード1	3	"[10054,1]"	アヤメを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	"魔法少女难免会有失误, /n拜托你装作看不见好啦~ /n这是约定哦, /n好吗?"	404711	1
4702	47	2	love_image2	1350	水母好可爱~好喜欢水母~	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	"好想像水母那样, /n无忧无虑地, /n飘啊~飘啊~飘~ /n多快活自在!"	404721	2
4703	47	3	love_image3	3375	躺在草地上面好舒服~	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	蓝天草地，/n美好的风景，/n清新的空气，/n还有你。	404731	3
4704	47	4	love_image4	8450	"听说你要带我去个地方,是哪里呀?"	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	音乐大厅回响着悠扬的钢琴声，/n音符交织谱写爱的乐曲，/n浪漫的告白加以点缀，/n美好的恋情就此展开。	404741	4
4801	48	1	love_image1	450	啊啊啊啊我起晚了，要迟到了(>_<)	エピソード1	3	"[10040,1]"	チケットを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	我们的相遇/n是一场意外/n我愿因此/n沉醉其中	404811	1
4802	48	2	love_image2	1350	抓小偷！快抓住他！！	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	英勇的身姿/n敏捷的身手/n好想感谢你/n谢谢你帮助我	404821	2
4803	48	3	love_image3	3375	那个亮闪闪的东西是什么呢？	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	黄金、/n棒球、/n棍……/n诶嘿！	404831	3
4804	48	4	love_image4	8450	嘿嘿，让我教你练习棒球么？	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	遥控飞机、/n戒指、/n结婚？/n我愿意！	404841	4
4901	49	1	love_image1	450	你能看出我所有的情绪	エピソード1	3	"[10014,1]"	チョコレートを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	你和其他人都不一样/n就算我不说/n你也知我的孤独/n你也知我的无助	404911	1
4902	49	2	love_image2	1350	谢谢你送我的手链	エピソード2	3	"[10075,1]"	クローバーを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	灯火阑珊处/n你看见我跳舞/n皎洁月光下/n你一笑胜却世间万物	404921	2
4903	49	3	love_image3	3375	你同娃娃会一直陪着我	エピソード3	3	"[10076,1]"	日記を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	日出日落/n花开花谢/n潮起潮落/n有你陪着便不再孤独	404931	3
4904	49	4	love_image4	8450	为你歌尽桃花，舞尽繁华	エピソード4	3	"[10018,1]"	結婚指輪を1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	多少春去春来朝朝暮暮/n来生来世还做你的狐/n为你歌唱/n为你起舞	404941	4
5001	50	1	love_image1	450	谢谢你送的果酱	エピソード1	3	"[10014,1]"	チョコレートを1つあげよう！	4	[]	信頼度	5	"[1,3]"	スキンシップ	认识你之前/n我只喜欢吃蜂蜜/n谢谢你送我各式各样的果酱/n就像你带给我酸酸甜甜的好心情	405011	1
